nom,famille,masse,A,h,b,tw,tf,r,Iy,Iz,Wely,Wply,Welz,Wplz,iy,iz,Um,iz_tabule,It,Av,Aw
RRW 90/90/5,RRW,13.134421947833744,0.0016731747704246808,0.09,0.09,0.005,0.005,0.01,1.995902370978871e-06,1.995902370978871e-06,4.4353386021752676e-05,5.299248676510823e-05,4.4353386021752676e-05,5.299248676510823e-05,0.034538143802365306,0.034538143802365306,0.3471238898038469,0.015001789097650715,,,
RRW 90/90/5.6,RRW,14.576746891362653,0.0018569104320207202,0.09,0.09,0.0056,0.0056,0.0112,2.180823883186837e-06,2.180823883186837e-06,4.84627529597075e-05,5.8339024113018106e-05,4.84627529597075e-05,5.8339024113018106e-05,0.03427005641010137,0.03427005641010137,0.34557875658030857,0.015001789097650715,,,
RRW 90/90/6.3,RRW,16.223220284380844,0.0020666522655262225,0.09,0.09,0.0063,0.0063,0.0126,2.3829121052992943e-06,2.3829121052992943e-06,5.295360233998433e-05,6.431157119858331e-05,5.295360233998433e-05,6.431157119858331e-05,0.03395629575037665,0.03395629575037665,0.34377610115284707,0.015001789097650715,,,
RRW 90/90/7.1,RRW,18.057116415611965,0.002300269607084327,0.09,0.09,0.0070999999999999995,0.0070999999999999995,0.014199999999999999,2.5963553278905858e-06,2.5963553278905858e-06,5.7696785064235244e-05,7.079180787079948e-05,5.7696785064235244e-05,7.079180787079948e-05,0.033596396141915646,0.03359639614191565,0.34171592352146263,0.015001789097650715,,,
RRW 90/90/8,RRW,20.05932018645439,0.0025553274122871836,0.09,0.09,0.008,0.008,0.016,2.8148572693507867e-06,2.8148572693507867e-06,6.255238376335082e-05,7.764738565812938e-05,6.255238376335082e-05,7.764738565812938e-05,0.03318982115723177,0.03318982115723177,0.339398223686155,0.015001789097650715,,,
RRW 100/100/4,RRW,11.922830046613596,0.0015188318530717957,0.1,0.1,0.004,0.004,0.008,2.3181342779529426e-06,2.3181342779529426e-06,4.636268555905885e-05,5.444379916674056e-05,4.636268555905885e-05,5.444379916674056e-05,0.03906739432834485,0.03906739432834485,0.3896991118430775,0.015001789097650715,,,
RRW 100/100/5,RRW,14.704421947833744,0.0018731747704246809,0.1,0.1,0.005,0.005,0.01,2.794323274557237e-06,2.794323274557237e-06,5.588646549114475e-05,6.635836061723164e-05,5.588646549114475e-05,6.635836061723164e-05,0.038623281926547216,0.038623281926547216,0.38712388980384693,0.015001789097650715,,,
RRW 100/100/6,RRW,17.406367604880593,0.0022173716694115406,0.1,0.1,0.006,0.006,0.012,3.231820966131516e-06,3.231820966131516e-06,6.463641932263034e-05,7.761353045246086e-05,6.463641932263034e-05,7.761353045246086e-05,0.038177228720985015,0.03817722872098501,0.38454866776461627,0.015001789097650715,,,
RRW 100/100/6.3,RRW,18.201420284380845,0.002318652265526222,0.1,0.1,0.0063,0.0063,0.0126,3.3557211039232815e-06,3.3557211039232815e-06,6.711442207846562e-05,8.086293252621442e-05,6.711442207846562e-05,8.086293252621442e-05,0.038043031684645255,0.038043031684645255,0.38377610115284705,0.015001789097650715,,,
RRW 100/100/8,RRW,22.57132018645439,0.0028753274122871836,0.1,0.1,0.008,0.008,0.016,3.995960977905926e-06,3.995960977905926e-06,7.991921955811853e-05,9.81840227195653e-05,7.991921955811853e-05,9.81840227195653e-05,0.037279232869322845,0.037279232869322845,0.379398223686155,0.015001789097650715,,,
RRW 100/100/10,RRW,27.41768779133498,0.003492699081698724,0.1,0.1,0.01,0.01,0.02,4.62089827004396e-06,4.62089827004396e-06,9.24179654008792e-05,0.00011623193085291692,9.24179654008792e-05,0.00011623193085291692,0.036373292811820244,0.036373292811820244,0.37424777960769384,0.015001789097650715,,,
RRW 110/110/4,RRW,13.178830046613596,0.0016788318530717957,0.11,0.11,0.004,0.004,0.008,3.1260363992804774e-06,3.1260363992804774e-06,5.6837025441463225e-05,6.647795843209953e-05,5.6837025441463225e-05,6.647795843209953e-05,0.04315125339380864,0.043151253393808646,0.4296991118430775,0.015001789097650715,,,
RRW 110/110/5,RRW,16.274421947833744,0.0020731747704246808,0.11,0.11,0.005,0.005,0.01,3.7814029166568384e-06,3.7814029166568384e-06,6.875278030285161e-05,8.122423446935504e-05,6.875278030285161e-05,8.122423446935504e-05,0.04270792977159428,0.04270792977159428,0.4271238898038469,0.015001789097650715,,,
RRW 110/110/6.3,RRW,20.179620284380853,0.002570652265526223,0.11,0.11,0.0063,0.0063,0.0126,4.5625247158235844e-06,4.5625247158235844e-06,8.295499483315607e-05,9.930429385384554e-05,8.295499483315607e-05,9.930429385384554e-05,0.04212898039345289,0.0421289803934529,0.42377610115284703,0.015001789097650715,,,
RRW 110/110/8,RRW,25.083320186454387,0.0031953274122871835,0.11,0.11,0.008,0.008,0.016,5.468031057075427e-06,5.468031057075427e-06,9.941874649228048e-05,0.00012112065978100121,9.941874649228048e-05,0.00012112065978100121,0.04136735980182222,0.04136735980182222,0.419398223686155,0.015001789097650715,,,
RRW 120/120/4.5,RRW,16.149581777745333,0.0020572715640439915,0.12,0.12,0.0045000000000000005,0.0045000000000000005,0.009000000000000001,4.547171449045758e-06,4.547171449045758e-06,7.57861908174293e-05,8.875181835062174e-05,7.57861908174293e-05,8.875181835062174e-05,0.047013745614265696,0.047013745614265696,0.4684115008234622,0.015001789097650715,,,
RRW 120/120/5,RRW,17.844421947833744,0.002273174770424681,0.12,0.12,0.005,0.005,0.01,4.97714129727767e-06,4.97714129727767e-06,8.295235495462783e-05,9.759010832147845e-05,8.295235495462783e-05,9.759010832147845e-05,0.04679221151316829,0.04679221151316829,0.4671238898038469,0.015001789097650715,,,
RRW 120/120/6.3,RRW,22.157820284380836,0.0028226522655262214,0.12,0.12,0.0063,0.0063,0.0126,6.028522941000192e-06,6.028522941000192e-06,0.00010047538235000322,0.00011963565518147659,0.00010047538235000322,0.00011963565518147659,0.04621434153134343,0.04621434153134343,0.46377610115284706,0.015001789097650715,,,
RRW 120/120/8,RRW,27.595320186454387,0.0035153274122871835,0.12,0.12,0.008,0.008,0.016,7.263067506859284e-06,7.263067506859284e-06,0.0001210511251143214,0.00014645729684243717,0.0001210511251143214,0.00014645729684243717,0.04545452774658787,0.04545452774658787,0.459398223686155,0.015001789097650715,,,
RRW 120/120/10,RRW,33.69768779133498,0.004292699081698724,0.12,0.12,0.01,0.01,0.02,8.52147346193884e-06,8.52147346193884e-06,0.00014202455769898067,0.00017515892166990418,0.00014202455769898067,0.00017515892166990418,0.044554556515246556,0.044554556515246556,0.4542477796076938,0.015001789097650715,,,
RRW 120/120/12.5,RRW,40.87763717396091,0.005207342315154256,0.12,0.12,0.0125,0.0125,0.025,9.817500023500376e-06,9.817500023500376e-06,0.00016362500039167292,0.00020680963415921772,0.00016362500039167292,0.00020680963415921772,0.0434202571901503,0.0434202571901503,0.44780972450961726,0.015001789097650715,,,
